Id,center_x,center_y,Clusters_2,Clusters_3,Clusters_4,Clusters_5
280,114.357021,30.48065445,0.0,2.0,2.0,2.0
281,114.2730279,30.48224353,0.0,0.0,0.0,0.0
282,114.2539263,30.48173454,0.0,0.0,0.0,0.0
283,114.3268635,30.48169065,0.0,0.0,0.0,0.0
284,114.3160074,30.48249398,0.0,0.0,0.0,0.0
285,114.260284,30.48217118,0.0,0.0,0.0,0.0
286,114.2891742,30.48343904,0.0,0.0,0.0,0.0
287,114.4079439,30.48289065,0.0,0.0,0.0,0.0
288,114.2833767,30.48354223,0.0,0.0,0.0,0.0
289,114.3095777,30.48249001,0.0,0.0,0.0,0.0
290,114.279877,30.48254135,0.0,2.0,2.0,2.0
291,114.3014474,30.46831709,0.0,0.0,0.0,0.0
292,114.2920474,30.4832661,0.0,0.0,0.0,0.0
293,114.3284192,30.48432768,0.0,0.0,0.0,0.0
294,114.5101587,30.48426552,0.0,2.0,1.0,1.0
295,114.2519221,30.48345379,0.0,0.0,0.0,0.0
296,114.3030486,30.47848946,0.0,0.0,0.0,0.0
297,114.2764363,30.48398126,0.0,0.0,0.0,0.0
298,114.256679,30.48430171,0.0,0.0,0.0,0.0
299,114.40132,30.48414007,0.0,0.0,0.0,0.0
300,114.3963236,30.484159,0.0,0.0,0.0,0.0
301,114.390847,30.48505806,0.0,0.0,0.0,0.0
302,114.2919179,30.48576953,0.0,2.0,1.0,0.0
303,114.4787665,30.4842239,0.0,0.0,0.0,0.0
304,114.4993117,30.48473606,0.0,2.0,1.0,1.0
305,114.3317195,30.48475363,0.0,0.0,0.0,0.0
306,114.2946433,30.48472559,,,,
307,114.408413,30.48576411,0.0,2.0,1.0,0.0
308,114.3255696,30.48529599,0.0,0.0,0.0,0.0
309,114.3244013,30.48667129,0.0,0.0,0.0,0.0
310,114.512971,30.4854024,0.0,0.0,0.0,0.0
311,114.5101961,30.48639804,0.0,2.0,1.0,1.0
312,114.5036121,30.48554344,0.0,0.0,0.0,0.0
313,114.2544463,30.48581914,0.0,0.0,0.0,0.0
314,114.5060182,30.48538155,0.0,2.0,1.0,1.0
315,114.5086923,30.48545189,0.0,2.0,1.0,1.0
316,114.5008535,30.48615438,0.0,0.0,0.0,0.0
317,114.4950811,30.4855065,0.0,2.0,1.0,1.0
318,114.2634272,30.48449863,0.0,2.0,1.0,0.0
319,114.3022172,30.48629949,0.0,0.0,0.0,0.0
320,114.5942755,30.48468495,0.0,2.0,1.0,3.0
321,114.2931277,30.4859533,0.0,0.0,0.0,0.0
322,114.2852346,30.4856554,0.0,0.0,0.0,0.0
323,114.290016,30.48667258,0.0,0.0,0.0,0.0
324,114.2717676,30.48664093,1.0,1.0,3.0,4.0
325,114.4949086,30.48813295,1.0,2.0,1.0,1.0
326,114.5052687,30.48814081,0.0,0.0,0.0,0.0
327,114.4661067,30.48715938,1.0,2.0,1.0,4.0
328,114.2591518,30.48684734,0.0,0.0,0.0,0.0
329,114.5988375,30.48524182,1.0,1.0,1.0,4.0
330,114.2703066,30.48802749,0.0,0.0,0.0,0.0
331,114.3057023,30.48558359,0.0,2.0,0.0,0.0
332,114.3183277,30.48635312,0.0,2.0,0.0,0.0
333,114.3373636,30.4850787,0.0,0.0,0.0,0.0
334,114.3157564,30.48779322,0.0,0.0,0.0,0.0
335,114.3321576,30.48804205,0.0,2.0,0.0,0.0
336,114.3934686,30.48797743,0.0,0.0,0.0,0.0
337,114.4706863,30.48695829,0.0,2.0,1.0,1.0
338,114.3305326,30.48850159,0.0,2.0,1.0,2.0
339,114.3117197,30.48705327,0.0,0.0,0.0,0.0
340,114.3252981,30.48843282,0.0,0.0,0.0,0.0
341,114.4741518,30.48593577,0.0,0.0,0.0,0.0
342,114.2822174,30.48805286,0.0,0.0,0.0,0.0
343,114.3263544,30.48884948,0.0,0.0,0.0,0.0
344,114.3232007,30.48893308,0.0,0.0,0.0,0.0
345,114.3218165,30.48627072,0.0,0.0,0.0,0.0
346,114.3044264,30.48895827,0.0,2.0,2.0,2.0
347,114.6078077,30.48449663,0.0,2.0,1.0,0.0
348,114.4778855,30.48831863,0.0,0.0,0.0,0.0
349,114.3975404,30.48829487,0.0,0.0,0.0,0.0
350,114.3355913,30.49034169,,,,
351,114.256881,30.48831146,0.0,0.0,0.0,0.0
352,114.3416324,30.49008901,0.0,0.0,0.0,0.0
353,114.268918,30.48951707,0.0,0.0,0.0,0.0
354,114.2999928,30.48814243,0.0,2.0,2.0,2.0
355,114.3366612,30.48933029,0.0,0.0,0.0,0.0
356,114.4016937,30.48836171,0.0,0.0,0.0,0.0
357,114.306296,30.49012162,0.0,0.0,0.0,0.0
358,114.6038124,30.49024499,0.0,2.0,1.0,3.0
359,114.6094672,30.49070053,,,,
360,114.6136959,30.49081388,0.0,0.0,1.0,0.0
361,114.321379,30.4908856,1.0,1.0,2.0,4.0
362,114.5114698,30.4895034,0.0,0.0,0.0,0.0
363,114.5065183,30.49008128,0.0,0.0,1.0,0.0
364,114.4842234,30.4866847,0.0,2.0,0.0,0.0
365,114.5039851,30.49011928,0.0,0.0,0.0,0.0
366,114.4899121,30.48758558,0.0,2.0,1.0,1.0
367,114.5001434,30.48966364,0.0,2.0,1.0,0.0
368,114.49481,30.49022613,0.0,0.0,0.0,0.0
369,114.2671075,30.48704933,0.0,0.0,0.0,0.0
370,114.404445,30.49092243,0.0,0.0,0.0,0.0
371,114.3264489,30.49105725,0.0,2.0,1.0,1.0
372,114.3386683,30.49081787,0.0,0.0,0.0,0.0
373,114.330928,30.49104684,0.0,0.0,0.0,0.0
374,114.4011403,30.49135222,0.0,0.0,0.0,0.0
375,114.5991612,30.49081549,0.0,0.0,0.0,0.0
376,114.2988803,30.48953043,0.0,2.0,1.0,1.0
377,114.3881373,30.48921155,0.0,2.0,2.0,2.0
378,114.3789419,30.49241871,1.0,1.0,3.0,4.0
379,114.5115649,30.49245417,0.0,2.0,1.0,0.0
380,114.6136923,30.49240862,0.0,0.0,0.0,0.0
381,114.5040431,30.49266801,0.0,2.0,1.0,1.0
382,114.59443,30.4901638,0.0,2.0,1.0,1.0
383,114.4704291,30.49135196,,,,
384,114.6093552,30.49234083,0.0,0.0,0.0,0.0
385,114.3943013,30.49140343,0.0,0.0,0.0,0.0
386,114.3256847,30.49254939,0.0,0.0,0.0,0.0
387,114.2608439,30.49071177,0.0,0.0,0.0,0.0
388,114.2775916,30.48794182,0.0,0.0,0.0,0.0
389,114.3892898,30.49299972,0.0,2.0,2.0,2.0
390,114.2733318,30.49208309,0.0,2.0,1.0,1.0
391,114.3788805,30.49158528,0.0,2.0,2.0,2.0
392,114.3859297,30.4928459,0.0,2.0,2.0,2.0
393,114.3034783,30.49180895,0.0,0.0,0.0,0.0
394,114.3176726,30.49108225,0.0,2.0,1.0,0.0
395,114.3402348,30.49389664,0.0,2.0,1.0,1.0
396,114.5107298,30.4940216,0.0,0.0,0.0,0.0
397,114.341825,30.49244087,0.0,2.0,1.0,0.0
398,114.38211,30.49324532,0.0,0.0,0.0,0.0
399,114.603614,30.49263693,0.0,2.0,1.0,0.0
400,114.4966829,30.4935933,0.0,2.0,1.0,0.0
401,114.5001989,30.49357907,0.0,2.0,2.0,2.0
402,114.3688558,30.49145059,0.0,2.0,1.0,1.0
403,114.4932452,30.49364508,0.0,2.0,1.0,1.0
404,114.3793492,30.49472525,0.0,2.0,2.0,2.0
405,114.3164207,30.49363612,0.0,0.0,0.0,0.0
406,114.4890651,30.49384669,0.0,2.0,1.0,1.0
407,114.5139356,30.49441532,0.0,0.0,0.0,0.0
408,114.4814584,30.49283426,0.0,2.0,0.0,0.0
409,114.3126445,30.49255796,0.0,2.0,1.0,3.0
410,114.2899669,30.49402326,0.0,0.0,0.0,0.0
411,114.3374578,30.49289141,0.0,0.0,0.0,0.0
412,114.2844493,30.49211834,0.0,0.0,0.0,0.0
413,114.2629569,30.49355074,0.0,2.0,0.0,0.0
414,114.2926402,30.49110598,0.0,0.0,1.0,0.0
415,114.335131,30.49334491,0.0,0.0,1.0,0.0
416,114.395736,30.49446654,0.0,0.0,0.0,0.0
417,114.3896201,30.49510043,0.0,0.0,0.0,0.0
418,114.2764446,30.49446628,0.0,2.0,1.0,3.0
419,114.3094933,30.49266949,0.0,0.0,0.0,0.0
420,114.325578,30.49504614,0.0,0.0,0.0,0.0
421,114.5058244,30.49414179,0.0,0.0,0.0,0.0
422,114.3194019,30.49584741,0.0,0.0,0.0,0.0
423,114.4886636,30.49630831,0.0,2.0,1.0,1.0
424,114.5131636,30.49612901,0.0,0.0,0.0,0.0
425,114.6134753,30.49502604,0.0,0.0,0.0,0.0
426,114.3691933,30.4953891,0.0,0.0,0.0,0.0
427,114.3853841,30.49568636,0.0,0.0,0.0,0.0
428,114.5981882,30.4944013,0.0,2.0,1.0,1.0
429,114.2720427,30.48963432,0.0,2.0,1.0,3.0
430,114.3315065,30.49465644,0.0,0.0,0.0,0.0
431,114.3107413,30.4968147,0.0,0.0,0.0,0.0
432,114.3975739,30.49685102,0.0,0.0,0.0,0.0
433,114.3269589,30.49567635,0.0,2.0,1.0,1.0
434,114.2807394,30.49518099,0.0,0.0,0.0,0.0
435,114.3038696,30.49588208,0.0,2.0,1.0,1.0
436,114.3067323,30.49590584,0.0,0.0,0.0,0.0
437,114.3816122,30.49651492,0.0,0.0,0.0,0.0
438,114.4769213,30.49539755,0.0,2.0,0.0,0.0
439,114.2691975,30.49521482,1.0,2.0,1.0,3.0
440,114.5938323,30.49564858,1.0,2.0,1.0,1.0
441,114.510608,30.49621037,0.0,0.0,0.0,0.0
442,114.379389,30.49675433,0.0,0.0,0.0,0.0
443,114.605578,30.49612894,0.0,0.0,0.0,0.0
444,114.4699503,30.49383594,0.0,2.0,1.0,1.0
445,114.327462,30.49729134,0.0,0.0,0.0,0.0
446,114.3070901,30.49792844,0.0,2.0,2.0,2.0
447,114.32262,30.4972428,0.0,2.0,1.0,0.0
448,114.2862231,30.49631551,0.0,0.0,0.0,0.0
449,114.4142881,30.49402157,0.0,2.0,1.0,0.0
450,114.6097093,30.49620558,0.0,0.0,0.0,0.0
451,114.4091484,30.49429762,0.0,0.0,0.0,0.0
452,114.581645,30.49706395,0.0,2.0,1.0,1.0
453,114.3778747,30.49903828,0.0,0.0,0.0,0.0
454,114.3224006,30.49539573,0.0,0.0,0.0,0.0
455,114.3626517,30.49820624,0.0,2.0,0.0,0.0
456,114.2993883,30.49722324,0.0,2.0,1.0,3.0
457,114.3127954,30.49781696,0.0,0.0,0.0,0.0
458,114.5177418,30.49770127,,,,
459,114.3173522,30.49759807,0.0,0.0,0.0,0.0
460,114.3084214,30.49870124,0.0,0.0,0.0,0.0
461,114.402677,30.49596761,0.0,0.0,0.0,0.0
462,114.2836017,30.49810123,0.0,0.0,0.0,0.0
463,114.2778051,30.49737903,0.0,2.0,1.0,0.0
464,114.2864493,30.49869522,0.0,0.0,0.0,0.0
465,114.3951306,30.49806416,0.0,0.0,0.0,0.0
466,114.3900453,30.49830775,0.0,0.0,0.0,0.0
467,114.3021547,30.49848469,0.0,0.0,0.0,0.0
468,114.300922,30.49396951,0.0,2.0,1.0,0.0
469,114.5846756,30.49941863,,,,
470,114.588646,30.49937242,1.0,1.0,3.0,4.0
471,114.4751332,30.49840222,0.0,0.0,0.0,0.0
472,114.4833754,30.49773607,0.0,2.0,2.0,2.0
473,114.5172913,30.49917339,0.0,2.0,1.0,1.0
474,114.580318,30.50025838,,,,
475,114.2952362,30.49765291,0.0,0.0,1.0,0.0
476,114.4681408,30.49880856,0.0,0.0,0.0,0.0
477,114.3857433,30.49870607,0.0,0.0,0.0,0.0
